"99X Mistletoe Jam",4957,1310,"Other Concerts"
"99X Upstart Fest Part 2",5783,1310,"Other Concerts"
"A Better Tomorrow",11510,1310,"Other Concerts"
"A Celebration of Freedom",6575,1310,"Other Concerts"
"A Chance Without",12317,1310,"Other Concerts"
"A Change of Pace",11623,1310,"Other Concerts"
"A Chimaira Christmas",11759,1310,"Other Concerts"
"A Christmas Celtic Sojourn",14558,1310,"Other Concerts"
"A Closer Walk with Patsy Cline",8042,1310,"Other Concerts"
"A Concert In Support of Tsunami Relief",6624,1310,"Other Concerts"
"A Cool Jazz Christmas",10458,1310,"Other Concerts"
"A Day to Remember",11624,1310,"Other Concerts"
"A Donnie & Ce Ce Evening",10206,1310,"Other Concerts"
"A Dozen Red Roses",10755,1310,"Other Concerts"
"A Flock of Seagulls",6406,1310,"Other Concerts"
"A Funny Kind of Love",8440,1310,"Other Concerts"
"A Global Threat",13205,1310,"Other Concerts"
"A Great Night in Harlem",9448,1310,"Other Concerts"
"A Heartwell Ending",12449,1310,"Other Concerts"
"A Kid's Christmas",14339,1310,"Other Concerts"
"A Local Gathering of the Juggalos",12065,1310,"Other Concerts"
"A Mothers Hope",5234,1310,"Other Concerts"
"A Music & Comedy Explosion",4509,1310,"Other Concerts"
"A New Revolution",8950,1314,"Rock"
"A Night for Musical Memories",9422,1310,"Other Concerts"
"A Night of Healing",4677,1310,"Other Concerts"
"A Night of Legendary Music",12950,1310,"Other Concerts"
"A Night of Pure Guitar",9952,1310,"Other Concerts"
"A One Night Love Affair",13803,1310,"Other Concerts"
"A Oscuras Me Da Risa",12907,1310,"Other Concerts"
"A Passion Greater",10115,1310,"Other Concerts"
"A Perfect Circle",974,1310,"Other Concerts"
"A Rock and Roll Christmas",11565,1310,"Other Concerts"
"A Romantic Night for Love",13060,1301,"Alternative Rock"
"A Royal Christmas",3742,1310,"Other Concerts"
"A Salute to those who serve",6547,1310,"Other Concerts"
"A Scottish Christmas",4831,1310,"Other Concerts"
"A Silver Mt. Zion",9385,1310,"Other Concerts"
"A Soulful Christmas",11097,1310,"Other Concerts"
"A Sounds Eclectic Evening",12765,1310,"Other Concerts"
"A Static Lullaby",10942,1310,"Other Concerts"
"A Tale of Two Johnnys",13737,1310,"Other Concerts"
"A Thorn for Every Heart",8562,1310,"Other Concerts"
"A Tribe Called Quest",6766,1310,"Other Concerts"
"A Tribute to Ella Fitzgerald",14195,1310,"Other Concerts"
"A Tribute to George Harrison",14401,1310,"Other Concerts"
"A Tribute to Glenn Miller",14812,1310,"Other Concerts"
"A Tribute to Gram Parsons",5419,1310,"Other Concerts"
"A Tribute To Led Zeppelin",8342,1304,"Classic Rock"
"A Tribute To Metallica",9268,1310,"Other Concerts"
"A Tribute To Miss Peggy Lee",5509,1310,"Other Concerts"
"A Tribute To Rick James",7555,1310,"Other Concerts"
"A Tribute to Roy Orbison",7130,1310,"Other Concerts"
"A Tribute to Stephen Schwartz",14113,1310,"Other Concerts"
"A Tribute To The Ladies",9526,1310,"Other Concerts"
"A Twisted Kissmas",7891,1310,"Other Concerts"
"A Valentine's Day Affair",6541,1310,"Other Concerts"
"A Very Larry Christmas",4570,1310,"Other Concerts"
"A Vicious Cycle",9958,1310,"Other Concerts"
"A Walk Down Abbey Road",2752,1310,"Other Concerts"
