Event,EventID,SubcategoryID,SubcategoryName
Simply Ballroom,13412,1111,Other Theater
Dog The Bounty Hunter,13468,1111,Other Theater
George Gershwin Alone,13475,1111,Other Theater
Jack Welch,13471,1111,Other Theater
After the Quake,7631,1112,Plays
Deuce - The Play,12383,1112,Plays
Jekyll & Hyde,393,1112,Plays
Kiss Me Kate,445,1112,Plays
Les Liaisons Dangereuses,10839,1112,Plays
Major Barbara,2076,1112,Plays
Midsummer Night's Dream,542,1112,Plays
On Golden Pond,5801,1112,Plays
Othello,637,1112,Plays
Radio Golf,7238,1112,Plays
Romeo And Juliet,739,1112,Plays
The Constant Wife,5619,1112,Plays
The Home Place,10880,1112,Plays
The Most Happy Fella,2421,1112,Plays
Tony & Tina's Wedding,1442,1112,Plays
Yellow Face,10707,1112,Plays
Twelve Angry Men,5988,1112,Plays
Whos Afraid of Virginia Woolf,6529,1112,Plays
Hamlet,1867,1112,Plays
Measure for Measure,7752,1112,Plays
Tosca,3428,1112,Plays
Heisei Nakamura-za,5608,1112,Plays
David Sedaris,2190,1113,Speakers and Seminars
Ed McMahon,9803,1113,Speakers and Seminars
Glenn Beck,7100,1113,Speakers and Seminars
Joel Osteen,5744,1113,Speakers and Seminars
John Edward,1956,1113,Speakers and Seminars
Maya Angelou,522,1113,Speakers and Seminars
Moscow Cats Theater,7874,1113,Speakers and Seminars
Regis Philbin,4001,1113,Speakers and Seminars
Al Gore,10407,1113,Speakers and Seminars
Women of Faith National Conference,8526,1113,Speakers and Seminars
Sean Hannity,5230,1113,Speakers and Seminars
"Deepak Chopra, M.D.",228,1113,Speakers and Seminars
Garrison Keillor,1070,1113,Speakers and Seminars
39 Steps,14298,1109,Musicals
Margaret Cho,1760,1103,Comedy
Eddie Izzard,4257,1103,Comedy
Disney on Ice Princess Classics,7519,1105,Family shows
Cavalia,4838,1105,Family
Curious George live,19307,1105,Family
Hansel and Gretel,2215,1105,Family
